modelIdentifier,spinSpeedRated,type,onMarketStartDate,spinSpeedHalf,ratedCapacity,spinClass,maxTemperatureRated,maxTemperatureQuarter,dimensionDepth,guaranteeDuration,dimensionHeight,spinSpeedQuarter,energyEfficiencyIndex,noiseClass,powerOffMode,webLinkSupplier,programmeDurationHalf,programmeDurationQuarter,energyConsPerCycle,noise,waterCons,energyClass,programmeDurationRated,dimensionWidth,supplierOrTrademark,energyConsPer100Cycle,maxTemperatureHalf,powerDelayStart,rinsingEffectiveness
WSB383 WCS 125 Edition,1400.0,FREE_STANDING,"[2023, 11, 13]",1400.0,8.0,B,32.0,25.0,64.0,24.0,85.0,1400.0,41.6,A,0.3,https://www.miele.com/,168.0,149.0,0.378,72.0,48.0,A,219.0,60.0,Miele,38.0,28.0,3.0,5.0
F6WR701Y,1560.0,FREE_STANDING,"[2023, 11, 13]",1560.0,11.0,A,37.0,25.0,57.0,24.0,85.0,1560.0,46.5,B,0.5,https://www.lg.com/global/ajax/common_manual,180.0,157.0,0.474,75.0,54.0,A,240.0,60.0,LG Electronics,47.0,31.0,4.0,5.0
EW6F4109RA 914916552,1351.0,FREE_STANDING,"[2023, 11, 13]",1351.0,9.0,B,33.0,26.0,66.0,0.0,85.0,1351.0,51.8,B,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914916552,165.0,155.0,0.493,76.0,50.0,A,220.0,60.0,Electrolux,49.0,27.0,4.0,4.9
NARCEA70,1200.0,FREE_STANDING,"[2023, 11, 13]",1200.0,7.0,C,39.0,30.0,40.0,36.0,85.0,1200.0,80.0,C,0.5,https://ponjohnsonentuvida.es/,162.0,162.0,0.6900000000000001,80.0,45.0,D,208.0,60.0,JOHNSON,69.0,35.0,4.0,5.0
BWE 81496X WKV IT,1351.0,FREE_STANDING,"[2023, 11, 12]",1351.0,8.0,B,33.0,21.0,63.0,24.0,85.0,1351.0,52.0,C,0.5,https://docs.whirlpool.eu/,168.0,160.0,0.472,78.0,48.0,A,218.0,60.0,INDESIT,47.0,28.0,4.0,5.0
BWE 71295X WV IT,1151.0,FREE_STANDING,"[2023, 11, 12]",1151.0,7.0,B,37.0,24.0,58.0,24.0,85.0,1151.0,60.0,C,0.5,https://docs.whirlpool.eu/,165.0,155.0,0.517,77.0,45.0,B,205.0,60.0,INDESIT,52.0,32.0,4.0,4.9
CST 27L3/1-S,1151.0,FREE_STANDING,"[2023, 11, 12]",1151.0,7.0,B,37.0,25.0,60.0,24.0,86.0,1151.0,68.9,C,0.5,https://corporate.haier-europe.com/en/,162.0,162.0,0.594,79.0,42.0,C,208.0,41.0,Candy,59.0,32.0,4.0,4.9
CSTG 282DV2/-88,1151.0,FREE_STANDING,"[2023, 11, 12]",1151.0,8.0,B,39.0,27.0,60.0,24.0,86.0,1151.0,80.0,C,0.5,https://corporate.haier-europe.com/en/,168.0,168.0,0.727,79.0,44.0,D,218.0,41.0,Candy,73.0,36.0,4.0,4.9
ES-NFL014CW1NA-PL,1330.0,FREE_STANDING,"[2023, 11, 11]",1330.0,10.0,B,41.0,23.0,58.0,24.0,85.0,1330.0,52.0,B,0.5,http://www.sharphomeappliances.com,180.0,180.0,0.514,75.0,52.0,A,239.0,60.0,SHARP,51.0,26.0,4.0,5.0
ES-NFL014DW1NA-PL,1330.0,FREE_STANDING,"[2023, 11, 11]",1330.0,10.0,B,41.0,23.0,58.0,24.0,85.0,1330.0,52.0,B,0.5,http://www.sharphomeappliances.com,180.0,180.0,0.514,75.0,52.0,A,239.0,60.0,SHARP,51.0,26.0,4.0,5.0
WFB181QW -01,1350.0,FREE_STANDING,"[2023, 11, 11]",1350.0,8.0,B,33.0,24.0,48.0,0.0,85.0,1350.0,51.9,B,0.5,http://www.brandt.com,168.0,168.0,0.472,76.0,48.0,A,218.0,60.0,BRANDT,47.0,28.0,4.0,5.0
FXY1261T1,1200.0,FREE_STANDING,"[2023, 11, 11]",1200.0,10.0,B,41.0,23.0,58.0,24.0,85.0,1200.0,52.0,B,0.5,http://www.givesit.it/download,180.0,180.0,0.514,74.0,52.0,A,239.0,60.0,FINLUX ,51.0,26.0,4.0,5.0
ES-NFL814AWNA-PL,1330.0,FREE_STANDING,"[2023, 11, 11]",1330.0,8.0,B,37.0,22.0,53.0,24.0,85.0,1330.0,52.0,B,0.5,http://www.sharphomeappliances.com,168.0,168.0,0.473,76.0,48.0,A,218.0,60.0,SHARP,47.0,28.0,4.0,5.0
WFB191QW -01,1350.0,FREE_STANDING,"[2023, 11, 11]",1350.0,9.0,B,43.0,25.0,50.0,0.0,85.0,1350.0,51.9,B,0.5,http://www.brandt.com,174.0,174.0,0.494,76.0,50.0,A,228.0,60.0,BRANDT,49.0,32.0,4.0,5.0
ES-NFA612DW1B-PL,1200.0,FREE_STANDING,"[2023, 11, 11]",1200.0,6.0,B,41.0,22.0,42.0,24.0,85.0,1200.0,60.0,B,0.5,http://www.sharphomeappliances.com,156.0,156.0,0.486,75.0,43.0,B,198.0,60.0,SHARP,49.0,26.0,4.0,5.0
ES-NFL714AWB-PL,1330.0,FREE_STANDING,"[2023, 11, 11]",1330.0,7.0,B,44.0,23.0,50.0,24.0,85.0,1330.0,60.0,B,0.5,http://www.sharphomeappliances.com,162.0,162.0,0.517,76.0,45.0,B,208.0,60.0,SHARP,52.0,29.0,4.0,5.0
ES-NFA612DA1B-PL,1200.0,FREE_STANDING,"[2023, 11, 11]",1200.0,6.0,B,41.0,22.0,42.0,24.0,85.0,1200.0,60.0,B,0.5,http://www.sharphomeappliances.com,156.0,156.0,0.486,75.0,43.0,B,198.0,60.0,SHARP,49.0,26.0,4.0,5.0
DSW-101423A,1400.0,FREE_STANDING,"[2023, 11, 10]",1400.0,10.0,B,33.0,20.0,60.0,24.0,85.0,1400.0,52.0,B,0.5,www.consumerelectronicsspa.com,180.0,180.0,0.514,76.0,51.0,A,239.0,60.0,DAYA,51.0,29.0,4.0,5.0
JLLFS7FW-11,1200.0,FREE_STANDING,"[2023, 11, 10]",1200.0,7.0,C,37.0,25.0,50.0,24.0,84.0,1200.0,60.0,B,0.5,http://notices.wesder.net,162.0,162.0,0.517,74.0,45.0,B,208.0,60.0,Jeken,52.0,32.0,4.0,5.0
DUERO100,1400.0,FREE_STANDING,"[2023, 11, 9]",1400.0,10.0,B,34.0,23.0,63.0,36.0,85.0,1400.0,52.0,B,0.5,https://ponjohnsonentuvida.es/,180.0,180.0,0.514,76.0,52.0,A,239.0,60.0,JOHNSON,51.0,28.0,4.0,5.0
BWA 71295X WV IT,1151.0,FREE_STANDING,"[2023, 11, 9]",1151.0,7.0,B,37.0,24.0,58.0,24.0,85.0,1151.0,60.0,C,0.5,https://docs.whirlpool.eu/,165.0,155.0,0.517,77.0,45.0,B,205.0,60.0,INDESIT,52.0,32.0,4.0,4.9
BWE 91496X WV FR,1351.0,FREE_STANDING,"[2023, 11, 8]",1351.0,9.0,B,32.0,25.0,63.0,24.0,85.0,1351.0,51.8,C,0.5,https://docs.whirlpool.eu/,170.0,130.0,0.493,78.0,50.0,A,225.0,60.0,INDESIT,49.0,29.0,4.0,4.9
F4WR7011SYB,1350.0,FREE_STANDING,"[2023, 11, 8]",1350.0,11.0,A,37.0,25.0,57.0,24.0,85.0,1350.0,46.5,A,0.5,https://www.lg.com/global/ajax/common_manual,180.0,157.0,0.474,71.0,54.0,A,240.0,60.0,LG Electronics,47.0,30.0,4.0,5.0
WA56110-020E,1000.0,FREE_STANDING,"[2023, 11, 8]",1000.0,6.0,C,45.0,40.0,44.0,24.0,85.0,1000.0,90.1,B,0.5,www.exquisit.de,156.0,156.0,0.73,74.0,43.0,E,198.0,60.0,Exquisit,73.0,40.0,4.0,5.0
WNEX94SEA,1400.0,FREE_STANDING,"[2023, 11, 7]",1400.0,9.0,B,32.0,22.0,58.0,24.0,84.0,1400.0,51.5,B,0.5,https://www.smeg.com/services/customer-service,173.0,173.0,0.49,75.0,45.0,A,228.0,60.0,SMEG,49.0,28.0,4.0,4.9
DSW-91423A,1400.0,FREE_STANDING,"[2023, 11, 7]",1400.0,9.0,B,30.0,21.0,60.0,24.0,85.0,1400.0,51.9,B,0.5,www.consumerelectronicsspa.com,174.0,174.0,0.494,76.0,45.0,A,228.0,60.0,DAYA,49.0,29.0,4.0,5.0
WEK375 WCS PWash&10kg,1400.0,FREE_STANDING,"[2023, 11, 7]",1400.0,10.0,B,42.0,26.0,64.0,24.0,85.0,1400.0,52.0,A,0.4,https://www.miele.com/,179.0,179.0,0.514,71.0,53.0,A,239.0,60.0,Miele,52.0,33.0,3.6,5.0
GUADIANA80,1350.0,FREE_STANDING,"[2023, 11, 7]",1350.0,8.0,B,33.0,25.0,54.0,36.0,83.0,1350.0,51.9,A,0.5,https://ponjohnsonentuvida.es/,168.0,168.0,0.472,72.0,48.0,A,218.0,60.0,JOHNSON,47.0,28.0,4.0,5.0
ADRA120,1350.0,FREE_STANDING,"[2023, 11, 7]",1350.0,12.0,B,42.0,24.0,60.0,36.0,85.0,1350.0,52.0,C,0.5,https://ponjohnsonentuvida.es/,180.0,180.0,0.544,80.0,57.0,A,240.0,60.0,JOHNSON,54.0,32.0,4.0,5.0
SELLA80,1400.0,FREE_STANDING,"[2023, 11, 7]",1400.0,8.0,B,38.0,25.0,60.0,36.0,85.0,1400.0,90.6,C,0.5,https://ponjohnsonentuvida.es/,168.0,168.0,0.8240000000000001,80.0,48.0,E,218.0,57.0,JOHNSON,82.0,33.0,4.0,5.0
SELLA70,1400.0,FREE_STANDING,"[2023, 11, 7]",1400.0,7.0,B,39.0,24.0,50.0,36.0,85.0,1400.0,91.0,C,0.5,https://ponjohnsonentuvida.es/,162.0,162.0,0.784,80.0,45.0,E,208.0,60.0,JOHNSON,78.0,35.0,4.0,5.0
WFOI 1293 WL FP 7,1200.0,FREE_STANDING,"[2023, 11, 6]",1200.0,9.0,B,42.0,24.0,58.0,24.0,85.0,1200.0,52.0,B,0.5,http://www.ocean.it,174.0,174.0,0.494,74.0,50.0,A,228.0,60.0,OCEAN,49.0,28.0,4.0,5.0
WG54G2F1DN,1351.0,FREE_STANDING,"[2023, 11, 6]",1400.0,10.0,B,35.0,23.0,63.0,24.0,85.0,1400.0,51.7,B,0.1,https://www.siemens-home.com/e-label,175.0,150.0,0.511,74.0,50.0,A,230.0,60.0,Siemens,51.0,28.0,1.0,5.0
BWE 91496X WKV IT,1351.0,FREE_STANDING,"[2023, 11, 6]",1351.0,9.0,B,32.0,25.0,63.0,24.0,85.0,1351.0,51.8,C,0.5,https://docs.whirlpool.eu/,170.0,130.0,0.493,78.0,50.0,A,225.0,60.0,INDESIT,49.0,29.0,4.0,4.9
BT16022 -02,1200.0,FREE_STANDING,"[2023, 11, 6]",1200.0,6.0,B,41.0,30.0,60.0,0.0,85.0,1200.0,79.9,C,0.5,http://www.brandt.com,140.0,100.0,0.647,79.0,42.0,D,198.0,40.0,BRANDT,65.0,33.0,4.0,5.0
CSS4127TWR3/1-11,1151.0,FREE_STANDING,"[2023, 11, 5]",1151.0,7.0,B,37.0,25.0,45.0,24.0,85.0,1151.0,68.9,C,0.5,https://corporate.haier-europe.com/en/,162.0,162.0,0.594,79.0,41.0,C,208.0,60.0,Candy,59.0,32.0,4.0,4.9
TF7D1245T1,1120.0,FREE_STANDING,"[2023, 11, 5]",1120.0,7.0,B,46.0,23.0,50.0,24.0,85.0,1120.0,80.0,C,0.5,https://www.telefunken-home.it/contattaci/,160.0,160.0,0.6900000000000001,78.0,45.0,D,208.0,60.0,TELEFUNKEN,69.0,27.0,4.0,5.0
NWT21014,1330.0,FREE_STANDING,"[2023, 11, 3]",1330.0,10.0,B,41.0,23.0,58.0,36.0,85.0,1330.0,52.0,B,0.5,https://newpol.es/,170.0,140.0,0.514,75.0,37.0,A,238.0,60.0,NEW POL,51.0,26.0,4.0,5.0
WA8214-340A weiss,1400.0,FREE_STANDING,"[2023, 11, 3]",1400.0,8.0,B,35.0,23.0,52.0,24.0,85.0,1400.0,52.0,B,0.5,www.exquisit.de,168.0,168.0,0.473,76.0,47.0,A,218.0,60.0,Exquisit,47.0,28.0,4.0,5.0
WW90T534DAWC,1400.0,FREE_STANDING,"[2023, 11, 3]",1400.0,9.0,B,28.0,23.0,55.0,24.0,85.0,1400.0,46.7,A,0.5,https://www.samsung.com/support,174.0,164.0,0.444,72.0,50.0,A,228.0,60.0,Samsung,44.0,28.0,4.0,5.0
MFG10W80BA/W-ES,1350.0,BUILT_IN,"[2023, 11, 3]",1350.0,8.0,B,33.0,25.0,54.0,36.0,83.0,1350.0,51.9,A,0.5,WWW.MIDEA.ES,168.0,168.0,0.472,72.0,48.0,A,218.0,60.0,MIDEA,47.0,28.0,4.0,5.0
MPM-4610-PH-03,1000.0,FREE_STANDING,"[2023, 11, 3]",1000.0,6.0,C,48.0,25.0,46.0,24.0,85.0,1000.0,86.8,B,0.49,www.mpm.pl,156.0,156.0,0.7030000000000001,76.0,36.0,E,198.0,60.0,MPM,70.0,37.0,3.5,4.0
TDLR 7232BS EU,1151.0,FREE_STANDING,"[2023, 11, 2]",1151.0,7.0,B,48.0,26.0,60.0,24.0,90.0,1151.0,79.9,A,0.11,https://docs.whirlpool.eu/,160.0,150.0,0.6880000000000001,72.0,45.0,D,205.0,40.0,WHIRLPOOL,69.0,35.0,4.0,4.9
FLM8K1400 LED,1350.0,FREE_STANDING,"[2023, 11, 1]",1350.0,8.0,B,33.0,24.0,47.0,12.0,85.0,1350.0,51.9,A,0.5,www.interdas.it,168.0,168.0,0.472,72.0,48.0,A,218.0,60.0,IGNIS,47.0,28.0,4.0,5.0
WMI1495T14A,1330.0,FREE_STANDING,"[2023, 11, 1]",1330.0,9.0,B,39.0,22.0,58.0,24.0,85.0,1330.0,51.9,C,0.5,www.voxelectronics.com,174.0,174.0,0.494,77.0,50.0,A,228.0,60.0,VOX Electronics,49.0,27.0,4.0,5.0
WMI1290T14A,1200.0,FREE_STANDING,"[2023, 11, 1]",1200.0,9.0,B,39.0,22.0,58.0,24.0,85.0,1200.0,51.9,B,0.5,www.voxelectronics.com,174.0,174.0,0.494,76.0,50.0,A,228.0,60.0,VOX Electronics,49.0,27.0,4.0,5.0
F4WR3010S6W,1360.0,FREE_STANDING,"[2023, 11, 1]",1360.0,10.0,A,32.0,25.0,57.0,24.0,85.0,1360.0,46.8,A,0.5,https://www.lg.com/global/ajax/common_manual,180.0,142.0,0.462,71.0,52.0,A,239.0,60.0,LG Electronics,46.0,29.0,4.0,5.0
WMI1490TA,1330.0,FREE_STANDING,"[2023, 11, 1]",1330.0,9.0,B,39.0,22.0,58.0,24.0,85.0,1330.0,51.9,C,0.5,www.voxelectronics.com,174.0,174.0,0.494,77.0,50.0,A,228.0,60.0,VOX Electronics,49.0,27.0,4.0,5.0
WMI1490SAT15A,1330.0,FREE_STANDING,"[2023, 11, 1]",1330.0,9.0,B,42.0,24.0,58.0,24.0,85.0,1330.0,52.0,B,0.5,www.voxelectronics.com,174.0,174.0,0.494,75.0,50.0,A,228.0,60.0,VOX Electronics,49.0,28.0,4.0,5.0
F4WR5010SYW,1360.0,FREE_STANDING,"[2023, 11, 1]",1360.0,10.0,A,32.0,25.0,57.0,24.0,85.0,1360.0,46.8,A,0.5,https://www.lg.com/global/ajax/common_manual,180.0,142.0,0.462,71.0,52.0,A,239.0,60.0,LG Electronics,46.0,29.0,4.0,5.0
SW75120W,1350.0,FREE_STANDING,"[2023, 11, 1]",1350.0,8.0,B,38.0,24.0,48.0,12.0,85.0,1350.0,51.9,A,0.5,http://www.very.co.uk,168.0,168.0,0.472,72.0,48.0,A,218.0,60.0,SWAN,47.0,29.0,4.0,5.0
FF1014WA0ES,1400.0,FREE_STANDING,"[2023, 11, 1]",1400.0,10.0,B,34.0,23.0,63.0,24.0,85.0,1400.0,52.0,B,0.5,http://www.tcl.com/,180.0,180.0,0.514,76.0,52.0,A,239.0,60.0,TCL,51.0,28.0,4.0,5.0
WMI1410TA,1330.0,FREE_STANDING,"[2023, 11, 1]",1330.0,10.0,B,41.0,23.0,58.0,24.0,85.0,1330.0,52.0,B,0.5,www.voxelectronics.com,180.0,180.0,0.514,75.0,52.0,A,239.0,60.0,VOX Electronics,51.0,26.0,4.0,5.0
F2R5008NSWW,1160.0,FREE_STANDING,"[2023, 11, 1]",1160.0,8.0,B,34.0,24.0,48.0,24.0,85.0,1160.0,46.2,A,0.5,https://www.lg.com/global/ajax/common_manual,168.0,130.0,0.42,71.0,48.0,A,218.0,60.0,LG Electronics,42.0,28.0,4.0,5.0
SW75130W,1350.0,FREE_STANDING,"[2023, 11, 1]",1350.0,9.0,B,43.0,23.0,50.0,12.0,85.0,1350.0,51.9,A,0.5,http://www.very.co.uk,174.0,174.0,0.494,72.0,50.0,A,228.0,60.0,SWAN,49.0,33.0,4.0,5.0
FF0912WA0FR,1200.0,FREE_STANDING,"[2023, 11, 1]",1200.0,9.0,B,32.0,23.0,56.0,24.0,85.0,1200.0,51.9,B,0.5,http://www.tcl.com/,174.0,174.0,0.494,76.0,50.0,A,228.0,60.0,TCL,49.0,29.0,4.0,5.0
FF0914WA0ES,1400.0,FREE_STANDING,"[2023, 11, 1]",1400.0,9.0,B,34.0,24.0,56.0,24.0,85.0,1400.0,51.9,B,0.5,http://www.tcl.com/,174.0,174.0,0.494,76.0,49.0,A,228.0,60.0,TCL,49.0,30.0,4.0,5.0
WMI1410SAT15A,1330.0,FREE_STANDING,"[2023, 11, 1]",1330.0,10.0,B,41.0,23.0,58.0,24.0,85.0,1330.0,52.0,B,0.5,www.voxelectronics.com,180.0,180.0,0.514,75.0,52.0,A,239.0,60.0,VOX Electronics,51.0,26.0,4.0,5.0
FF0814WA0ES,1400.0,FREE_STANDING,"[2023, 11, 1]",1400.0,8.0,B,34.0,23.0,52.0,24.0,85.0,1400.0,52.0,B,0.5,http://www.tcl.com/,168.0,140.0,0.473,76.0,48.0,A,218.0,60.0,TCL,47.0,28.0,4.0,5.0
FP0834WA0GR,1400.0,FREE_STANDING,"[2023, 11, 1]",1400.0,8.0,B,38.0,24.0,53.0,24.0,85.0,1400.0,51.9,A,0.5,http://www.tcl.com/,168.0,168.0,0.472,72.0,46.0,A,218.0,60.0,TCL,47.0,27.0,4.0,5.0
FP0834SA0GR,1400.0,FREE_STANDING,"[2023, 11, 1]",1400.0,8.0,B,38.0,24.0,53.0,24.0,85.0,1400.0,51.9,A,0.5,http://www.tcl.com/,168.0,168.0,0.472,72.0,46.0,A,218.0,60.0,TCL,47.0,27.0,4.0,5.0
WA 7195,1400.0,FREE_STANDING,"[2023, 11, 1]",1400.0,9.0,B,38.0,26.0,61.0,24.0,85.0,1400.0,51.8,A,0.49,www.Bomann-Germany.de,174.0,174.0,0.493,72.0,49.0,A,228.0,60.0,Bomann,49.0,31.0,3.9,4.0
WMI1495TA,1330.0,FREE_STANDING,"[2023, 11, 1]",1330.0,9.0,B,42.0,24.0,58.0,24.0,85.0,1330.0,52.0,B,0.5,www.voxelectronics.com,174.0,174.0,0.494,75.0,50.0,A,228.0,60.0,VOX Electronics,49.0,28.0,4.0,5.0
WMI1415TA,1330.0,FREE_STANDING,"[2023, 11, 1]",1330.0,10.0,B,41.0,23.0,58.0,24.0,85.0,1330.0,52.0,B,0.5,www.voxelectronics.com,180.0,180.0,0.514,75.0,52.0,A,239.0,60.0,VOX Electronics,51.0,26.0,4.0,5.0
SW75120B,1350.0,FREE_STANDING,"[2023, 11, 1]",1350.0,8.0,B,38.0,24.0,48.0,12.0,85.0,1350.0,51.9,A,0.5,http://www.very.co.uk,168.0,168.0,0.472,72.0,48.0,A,218.0,60.0,SWAN,47.0,29.0,4.0,5.0
SW75130B,1350.0,FREE_STANDING,"[2023, 11, 1]",1350.0,9.0,B,43.0,23.0,50.0,12.0,85.0,1350.0,51.9,A,0.5,http://www.very.co.uk,174.0,174.0,0.494,72.0,50.0,A,228.0,60.0,SWAN,49.0,33.0,4.0,5.0
FF0812WA0FR,1200.0,FREE_STANDING,"[2023, 11, 1]",1200.0,8.0,B,34.0,23.0,52.0,24.0,85.0,1200.0,51.9,B,0.5,http://www.tcl.com/,168.0,168.0,0.472,76.0,47.0,A,218.0,60.0,TCL,47.0,28.0,4.0,5.0
HPKE1410D,1350.0,FREE_STANDING,"[2023, 11, 1]",1400.0,10.0,B,42.0,36.0,59.0,24.0,84.0,1400.0,79.0,B,0.09,-,170.0,170.0,0.786,76.0,48.0,D,230.0,60.0,HELKAMA,78.0,38.0,2.9,4.6
SW75110B,1200.0,FREE_STANDING,"[2023, 11, 1]",1200.0,7.0,C,39.0,30.0,40.0,12.0,85.0,1200.0,80.0,C,0.5,http://www.very.co.uk,162.0,162.0,0.6900000000000001,80.0,45.0,D,208.0,60.0,SWAN,69.0,35.0,4.0,5.0
SW75110W,1200.0,FREE_STANDING,"[2023, 11, 1]",1200.0,7.0,C,39.0,30.0,40.0,12.0,85.0,1200.0,80.0,C,0.5,http://www.very.co.uk,162.0,162.0,0.6900000000000001,80.0,45.0,D,208.0,60.0,SWAN,69.0,35.0,4.0,5.0
IMPLAV70218SU,1200.0,FREE_STANDING,"[2023, 11, 1]",1200.0,7.0,B,39.0,31.0,44.0,24.0,85.0,1200.0,90.6,B,0.5,www.improvesrl.com,162.0,162.0,0.781,76.0,45.0,E,204.0,60.0,IMPROVE,78.0,30.0,4.0,5.0
HOULAV70218SU,1200.0,FREE_STANDING,"[2023, 11, 1]",1200.0,7.0,B,39.0,31.0,44.0,24.0,85.0,1200.0,90.6,B,0.5,www.improvesrl.com,162.0,162.0,0.781,76.0,45.0,E,204.0,60.0,HOUSTYLE,78.0,30.0,4.0,5.0
HW7120W,1200.0,FREE_STANDING,"[2023, 11, 1]",1200.0,7.0,B,49.0,23.0,42.0,24.0,85.0,1200.0,90.7,B,0.49,www.haden.com,150.0,150.0,0.782,76.0,44.0,E,195.0,60.0,Haden,78.0,42.0,3.9,4.9
DSW-71423A,1400.0,FREE_STANDING,"[2023, 10, 31]",1400.0,7.0,B,31.0,21.0,48.0,24.0,85.0,1400.0,52.0,B,0.5,www.consumerelectronicsspa.com,162.0,162.0,0.448,76.0,37.0,A,208.0,60.0,DAYA,45.0,25.0,4.0,5.0
WM 150,1200.0,FREE_STANDING,"[2023, 10, 31]",1200.0,6.0,B,41.0,22.0,426.0,24.0,85.0,1200.0,60.0,B,0.5,www.ceem.at,156.0,156.0,0.486,75.0,43.0,B,198.0,60.0,CEEM,49.0,26.0,4.0,5.0
LR7H116BY 914505100,1550.0,FREE_STANDING,"[2023, 10, 30]",1550.0,11.0,A,35.0,25.0,64.0,24.0,85.0,1550.0,51.8,B,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914505100,179.0,179.0,0.528,76.0,50.0,A,239.0,60.0,AEG,53.0,31.0,4.0,4.9
02787,1400.0,FREE_STANDING,"[2023, 10, 30]",1400.0,10.0,C,35.0,24.0,58.0,36.0,85.0,1400.0,51.9,B,0.5,www.cecotec.es,179.0,179.0,0.513,76.0,51.0,A,238.0,60.0,Cecotec,51.0,32.0,4.0,5.0
WAF 91410 7142141700,1400.0,FREE_STANDING,"[2023, 10, 30]",1400.0,9.0,B,30.0,25.0,64.0,24.0,84.0,1400.0,51.5,B,0.5,http://support.elektrabregenz.com,173.0,173.0,0.49,75.0,43.0,A,228.0,60.0,ELEKTRABREGENZ,49.0,33.0,4.0,4.9
02767,1400.0,FREE_STANDING,"[2023, 10, 30]",1400.0,9.0,C,35.0,25.0,58.0,36.0,85.0,1400.0,51.9,B,0.5,www.cecotec.es,174.0,174.0,0.494,76.0,49.0,A,228.0,60.0,Cecotec,49.0,35.0,4.0,5.0
LR7696AAD4 914505000,1550.0,FREE_STANDING,"[2023, 10, 30]",1550.0,9.0,A,27.0,24.0,64.0,24.0,85.0,1550.0,46.6,A,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914505000,173.0,170.0,0.443,72.0,48.0,A,225.0,60.0,AEG,44.0,29.0,4.0,4.9
LR76CUCA06 914505101,1550.0,FREE_STANDING,"[2023, 10, 30]",1550.0,10.0,A,31.0,24.0,64.0,24.0,85.0,1550.0,46.6,A,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914505101,179.0,170.0,0.46,72.0,49.0,A,235.0,60.0,AEG,46.0,28.0,4.0,4.9
LR7EW75610 914505106,1550.0,FREE_STANDING,"[2023, 10, 30]",1550.0,11.0,A,35.0,25.0,64.0,24.0,85.0,1550.0,51.8,B,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914505106,179.0,179.0,0.528,76.0,50.0,A,239.0,60.0,AEG,53.0,31.0,4.0,4.9
OWM 8126 B,1350.0,FREE_STANDING,"[2023, 10, 30]",1350.0,8.0,B,32.0,24.0,48.0,24.0,85.0,1350.0,59.8,B,0.5,http://de.ok-online.com/nc/de/suche.html,168.0,168.0,0.544,76.0,48.0,B,218.0,60.0,ok.,54.0,28.0,4.0,5.0
SL7400DIDVBX,1400.0,FREE_STANDING,"[2023, 10, 30]",1400.0,7.0,B,40.0,39.0,48.0,36.0,85.0,1400.0,79.8,B,0.5,www.svanelectro.com,155.0,151.0,0.6880000000000001,75.0,45.0,D,194.0,60.0,SVAN,69.0,41.0,4.0,5.0
VA-WFT0749AD,1330.0,FREE_STANDING,"[2023, 10, 30]",1330.0,7.0,B,46.0,23.0,50.0,24.0,85.0,1330.0,80.0,C,0.5,https://vestel-germany.de/de/,160.0,160.0,0.6900000000000001,79.0,45.0,D,208.0,60.0,VESTEL ,69.0,27.0,4.0,5.0
BF708,1200.0,FREE_STANDING,"[2023, 10, 30]",1200.0,7.0,B,39.0,31.0,44.0,24.0,85.0,1200.0,90.6,B,0.5,www.sofarem.com,242.0,242.0,0.977,76.0,45.0,E,324.0,60.0,BELFORD,78.0,30.0,4.0,7.0
BT38048QG -01,1250.0,FREE_STANDING,"[2023, 10, 28]",1250.0,8.0,B,38.0,23.0,61.0,0.0,88.0,1250.0,51.9,C,0.5,http://www.brandt.com,168.0,168.0,0.472,78.0,48.0,A,218.0,40.0,BRANDT,47.0,32.0,4.0,5.0
WFB384QW -01,1350.0,FREE_STANDING,"[2023, 10, 28]",1350.0,8.0,B,39.0,23.0,47.0,0.0,85.0,1350.0,51.9,A,0.5,http://www.brandt.com,168.0,168.0,0.472,72.0,48.0,A,218.0,60.0,BRANDT,47.0,30.0,4.0,5.0
WAF 71429 7176681600,1400.0,FREE_STANDING,"[2023, 10, 27]",1400.0,7.0,B,37.0,25.0,49.0,24.0,84.0,1400.0,51.5,A,0.5,http://support.elektrabregenz.com,161.0,161.0,0.444,72.0,40.0,A,207.0,60.0,ELEKTRABREGENZ,44.0,33.0,4.0,4.9
WW90T504DAWC,1400.0,FREE_STANDING,"[2023, 10, 27]",1400.0,9.0,B,28.0,23.0,55.0,24.0,85.0,1400.0,46.7,A,0.5,https://www.samsung.com/support,174.0,164.0,0.444,72.0,50.0,A,228.0,60.0,Samsung,44.0,28.0,4.0,5.0
B5WFT4923SW 7178557800,1400.0,FREE_STANDING,"[2023, 10, 26]",1400.0,9.0,B,33.0,24.0,58.0,24.0,85.0,1400.0,51.5,B,0.5,http://support.beko.com,173.0,173.0,0.49,75.0,48.0,A,228.0,60.0,Beko,49.0,30.0,4.0,4.9
WFB181QWG -01,1350.0,FREE_STANDING,"[2023, 10, 25]",1350.0,8.0,B,33.0,24.0,48.0,0.0,85.0,1350.0,51.9,B,0.5,http://www.brandt.com,168.0,168.0,0.472,76.0,48.0,A,218.0,60.0,BRANDT,47.0,28.0,4.0,5.0
